clip,time,rootX,rootY,rootZ,rootYaw,hipsY,headY,leftFootX,leftFootY,leftFootZ,rightFootX,rightFootY,rightFootZ,leftHandZ,rightHandZ,meshMinY,meshMaxY
Zombie@Death01_A,0.4111111,0,0,0,0,0.7925396,0.2724454,-0.1852145,1.523894,-0.2858173,0.1930965,1.404607,-0.2183033,-0.9924193,-0.9921969,0.07755303,1.698823
Zombie@Death01_A,0.4222222,0,0,0,0,0.7278134,0.2198349,-0.1968837,1.481229,-0.3535205,0.2097225,1.402332,-0.3146453,-1.034203,-1.019349,0.03994703,1.674227
Zombie@Death01_A,0.4333333,0,0,0,0,0.6646082,0.1693875,-0.2081144,1.435705,-0.4222903,0.2245844,1.391042,-0.4181252,-1.075501,-1.046032,0.00414741,1.645827
Zombie@Death01_A,0.4444444,0,0,0,0,0.6027426,0.1460702,-0.2183176,1.395984,-0.4948822,0.2335067,1.371674,-0.5027337,-1.136017,-1.086455,-0.007914186,1.620657
Zombie@Death01_A,0.4555556,0,0,0,0,0.5394427,0.1294413,-0.2282038,1.350998,-0.5696139,0.2414047,1.346279,-0.5993466,-1.196183,-1.127105,-0.008257151,1.599584
Zombie@Death01_A,0.4666667,0,0,0,0,0.4750493,0.1184841,-0.2394498,1.306692,-0.6657676,0.2489525,1.315833,-0.7248558,-1.251158,-1.164602,-0.003308415,1.570098
Zombie@Death01_A,0.4777778,0,0,0,0,0.4137166,0.1174277,-0.2494178,1.239937,-0.7196231,0.2603691,1.199427,-0.7911477,-1.275939,-1.180065,0.01364577,1.487965
Zombie@Death01_A,0.4888889,0,0,0,0,0.3540761,0.1221868,-0.259193,1.171779,-0.7762863,0.2776024,1.056403,-0.8622159,-1.304391,-1.195193,-0.01098859,1.420088
Zombie@Death01_A,0.5,0,0,0,0,0.2962725,0.131243,-0.2683453,1.102393,-0.836529,0.2911545,0.88908,-0.9307379,-1.345852,-1.210034,-0.03212512,1.349588
Zombie@Death01_A,0.5111111,0,0,0,0,0.2476363,0.1893903,-0.2702041,1.066879,-0.8687685,0.2891676,0.9034803,-0.9337566,-1.3684,-1.2274,-0.0175612,1.313243
Zombie@Death01_A,0.5222222,0,0,0,0,0.1988673,0.2474457,-0.2711922,1.030001,-0.9101776,0.2833521,0.9118358,-0.9431385,-1.382986,-1.235558,-0.01168203,1.274741
Zombie@Death01_A,0.5333334,0,0,0,0,0.1517877,0.3002639,-0.2710573,0.9935377,-0.962723,0.2747954,0.9152603,-0.9616377,-1.381489,-1.229596,-0.01507509,1.235839
Zombie@Death01_A,0.5444444,0,0,0,0,0.1569298,0.3196837,-0.2684205,1.001837,-0.9779364,0.270908,0.921745,-0.9568771,-1.376302,-1.229837,0.003287673,1.242573
Zombie@Death01_A,0.5555556,0,0,0,0,0.1623438,0.3404809,-0.2577421,1.006565,-0.9959157,0.262383,0.9270183,-0.9543726,-1.367943,-1.228301,0.02353716,1.245802
Zombie@Death01_A,0.5666667,0,0,0,0,0.1680623,0.3624666,-0.2390477,1.007698,-1.016049,0.2493888,0.9311687,-0.9540635,-1.356514,-1.224974,0.04527497,1.245419
Zombie@Death01_A,0.5777778,0,0,0,0,0.1725062,0.3716674,-0.2312632,1.007985,-1.018262,0.2437066,0.9330326,-0.9517455,-1.335963,-1.21522,0.05660141,1.242872
Zombie@Death01_A,0.5888889,0,0,0,0,0.1770449,0.3811069,-0.2214541,1.007905,-1.020811,0.2370022,0.9347269,-0.9500347,-1.317224,-1.205907,0.06415552,1.239112
Zombie@Death01_A,0.6,0,0,0,0,0.1816738,0.390746,-0.2097222,1.007443,-1.02359,0.229382,0.936251,-0.9488996,-1.300694,-1.197097,0.0652343,1.234071
Zombie@Death01_A,0.6111111,0,0,0,0,0.1826325,0.3884485,-0.2063473,0.9993502,-1.011426,0.2275212,0.9347071,-0.9367117,-1.292521,-1.192132,0.06401992,1.22028
Zombie@Death01_A,0.6222222,0,0,0,0,0.1838067,0.3862577,-0.2038299,0.990038,-1.000069,0.2254413,0.9331303,-0.9248165,-1.283569,-1.186894,0.06339306,1.20465
Zombie@Death01_A,0.6333333,0,0,0,0,0.1851895,0.3841667,-0.2021849,0.9795474,-0.9895471,0.2231503,0.9315263,-0.9131872,-1.274419,-1.181398,0.06335121,1.187023
Zombie@Death01_A,0.6444445,0,0,0,0,0.1826164,0.3702598,-0.2099185,0.9674717,-0.9533443,0.227055,0.9238915,-0.8831155,-1.264647,-1.175393,0.05999041,1.168588
Zombie@Death01_A,0.6555555,0,0,0,0,0.180344,0.3563634,-0.2154721,0.9528095,-0.917331,0.2307927,0.9151073,-0.8534274,-1.255536,-1.169127,0.05690897,1.147582
